"ABALONE,MIXED SPECIES,RAW",1.05,105.0
"ABALONE,MXD SP,CKD,FRIED",1.89,189.0
"ACEROLA JUICE,RAW",0.23,23.0
"ACEROLA,(WEST INDIAN CHY),RAW",0.32,32.0
"ACORN FLOUR,FULL FAT",5.01,501.0
"ACORNS,DRIED",5.09,509.0
"ACORNS,RAW",3.87,387.0
"ALCOHOLIC BEV,BEER,LT",0.28,28.0
"ALCOHOLIC BEV,BEER,REG",0.41,41.0
"ALCOHOLIC BEV,CREME DE MENTHE,72 PROOF",3.71,371.0
"ALCOHOLIC BEV,DAIQUIRI,CND",1.25,125.0
"ALCOHOLIC BEV,DAIQUIRI,PREPARED-FROM-RECIPE",1.86,186.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 80 PROOF",2.31,231.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 86 PROOF",2.50,250.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 90 PROOF",2.63,263.0
"ALCOHOLIC BEV,DISTILLED,ALL (GIN,RUM,VODKA,WHISKEY) 94 PROOF",2.75,275.0
"ALCOHOLIC BEV,DISTILLED,ALL 100 PROOF",2.95,295.0
"ALCOHOLIC BEV,DISTILLED,GIN,90 PROOF",2.63,263.0
"ALCOHOLIC BEV,DISTILLED,RUM,80 PROOF",2.31,231.0
"ALCOHOLIC BEV,DISTILLED,VODKA,80 PROOF",2.31,231.0
"ALCOHOLIC BEV,DISTILLED,WHISKEY,86 PROOF",2.50,250.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE W/CRM,34 PROOF",3.27,327.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,53 PROOF",3.36,336.0
"ALCOHOLIC BEV,LIQUEUR,COFFEE,63 PROOF",3.08,308.0
"ALCOHOLIC BEV,PINA COLADA,CND",2.37,237.0
"ALCOHOLIC BEV,PINA COLADA,PREPARED-FROM-RECIPE",1.86,186.0
"ALCOHOLIC BEV,TEQUILA SUNRISE,CND",1.10,110.0
"ALCOHOLIC BEV,WHISKEY SOUR MIX,PDR",3.83,383.0
"ALCOHOLIC BEV,WHISKEY SOUR,CND",1.19,119.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14028",1.49,149.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP FROM ITEM 14530",1.49,149.0
"ALCOHOLIC BEV,WHISKEY SOUR,PREP W/H2O,WHISKEY&PDR MIX",1.64,164.0
"ALCOHOLIC BEV,WINE,DSSRT,DRY",1.26,126.0
"ALCOHOLIC BEV,WINE,DSSRT,SWT",1.53,153.0
"ALCOHOLIC BEV,WINE,TABLE,ALL",0.70,70.0
"ALCOHOLIC BEV,WINE,TABLE,RED",0.72,72.0
"ALCOHOLIC BEV,WINE,TABLE,ROSE",0.71,71.0
"ALCOHOLIC BEV,WINE,TABLE,WHITE",0.68,68.0
"ALFALFA SEEDS,SPROUTED,RAW",0.29,29.0
"ALLSPICE,GROUND",2.63,262.6
"ALMOND BUTTER,PLN,W/SALT",6.33,633.0
"ALMOND BUTTER,PLN,WO/SALT",6.33,633.0
ALMOND PASTE,4.58,458.0
ALMONDS,5.78,578.0
"ALMONDS,BLANCHED",5.81,581.0
"ALMONDS,DRY RSTD,W/SALT",5.97,597.0
"ALMONDS,DRY RSTD,WO/SALT",5.97,597.0
"ALMONDS,HONEY RSTD,UNBLANCHED",5.94,594.0
"ALMONDS,OIL RSTD,W/SALT",6.07,607.0
"ALMONDS,OIL RSTD,WO/SALT",6.07,607.0
AMARANTH,3.74,374.0
"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",0.21,21.0
"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",0.21,21.0
"AMARANTH LEAVES,RAW",0.23,23.0
"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",2.10,210.0
"ANCHOVY,EUROPEAN,RAW",1.31,131.0
ANISE SEED,3.37,337.3
